order	mean	sd	month
2	0.28372185595223315	0.1701754787678681	28
3	0.1760618007621013	0.09937411956231011	28
4	0.13391801701399525	0.0652510673524523	28
5	0.1121298230937466	0.04740745602710358	28
6	0.09874285848004882	0.0376690828518128	28
7	0.08949397205122074	0.03214789079967493	28
8	0.08256463278864708	0.028909081521415556	28
9	0.07706406448603736	0.026940065232426025	28
10	0.07250730738701429	0.025686552863354372	28
11	0.0686090163220629	0.02483747322978611	28
12	0.06519136425477055	0.02421640596633174	28
13	0.06213845625608896	0.023722670806433463	28
14	0.059371894237031805	0.023298395982424527	28
15	0.05683687760673211	0.022910031805679753	28
16	0.054493934919901954	0.022537984449500253	28
17	0.05231382885815769	0.022170783952044432	28
18	0.05027432406076429	0.021801769324587338	28
19	0.04835808508458371	0.02142717263895047	28
20	0.0465512791822835	0.021044987774911168	28
1	1	0.22681820995265237	29
2	0.2661461813492764	0.18159388114669578	29
3	0.1527338756849674	0.1102194144422861	29
4	0.10813348022521797	0.07314854543171698	29
5	0.0855412036751068	0.05235963449916338	29
6	0.07210897792874814	0.039959179769073934	29
7	0.06318832033402484	0.0321154115337976	29
8	0.05678674142760646	0.026939057970146032	29
9	0.05192645176917999	0.02341979882761211	29
10	0.04807470168957034	0.020959712203077102	29
11	0.04491801207923675	0.01918155099834813	29
12	0.04226109986111485	0.017842954909471777	29
13	0.03997674721575842	0.016789151511753093	29
14	0.037978919804083994	0.01592230351702308	29
15	0.03620750359493497	0.015180850644109449	29
16	0.03461925604028926	0.014525911658645285	29
17	0.033182250153576426	0.013932634046882327	29
18	0.03187235751745924	0.013384833234401051	29
19	0.030670959069313334	0.012871719686909824	29
20	0.02956341582866226	0.012385910231367848	29
1	1	0.23163227780894316	30
2	0.26014519502891625	0.16461131718368202	30
3	0.15347345582751395	0.09903990777352989	30
4	0.11095008324481481	0.06643205788985954	30
5	0.08886897996477001	0.04832941043242253	30
6	0.07541129387052212	0.03753099965358417	30
7	0.0662771308926584	0.030620994555801834	30
8	0.05960860960758512	0.025939807937915137	30
9	0.054485114309770676	0.022623083858277812	30
10	0.05039823623675454	0.020177344900512255	30
11	0.047043564315524276	0.018300206345569628	30
12	0.044227759582322876	0.016799500318051455	30
13	0.04182247231215825	0.015551561049456968	30
14	0.03973942671276261	0.014476655807144169	30
15	0.03791602980384202	0.013523421062821272	30
16	0.0363066429161219	0.0126587792711935	30
17	0.03487709322126712	0.011861405958242149	30
18	0.03360112738302803	0.011117518709879783	30
19	0.032458070939744975	0.010418172494384858	30
20	0.031431256658300065	0.009757523070826949	30
1	1	0.2050013585340751	31
2	0.277450491803279	0.16637218538716966	31
3	0.17137075945132177	0.10208444699450862	31
4	0.12795136835061868	0.06992739688288797	31
5	0.10494753955994672	0.05132861344525772	31
6	0.09086658060746329	0.039734371797606145	31
7	0.08138374806916122	0.03216604491623286	31
8	0.07454626960963599	0.027106145264706623	31
9	0.06935186639094477	0.023670922018293176	31
10	0.06523812872195264	0.021291830042658277	31
11	0.061869398019327844	0.019591686212380673	31
12	0.05903597477053008	0.018324305444687185	31
13	0.056601730010936775	0.01733388489467034	31
14	0.05447506734663106	0.01652436336372652	31
15	0.052592139884069584	0.015837309538828098	31
16	0.05090687162381615	0.015237108746567684	31
17	0.049384894918601756	0.014701625014982903	31
18	0.047999794817433536	0.014216561762608972	31
19	0.04673073517553579	0.013772155609690612	31
20	0.045560923980860715	0.013361279433311805	31
1	0.9999999999999998	0.2210492797270776	32
2	0.23196501317996665	0.16496334445757227	32
3	0.12864596018134083	0.09227976085790494	32
4	0.09035268025254653	0.05693231999863348	32
5	0.07185755246467396	0.03812977135777122	32
6	0.06129948126679197	0.027473083807770065	32
7	0.054526444846782415	0.021010737326035426	32
8	0.04981154092875671	0.016853576537720932	32
9	0.0463297690127547	0.0140527541394211	32
10	0.043641576450868	0.012091171760196529	32
11	0.041492959973604596	0.010664921502061282	32
12	0.039727989612116925	0.009587008868368357	32
13	0.03824627347174486	0.00874007538920627	32
14	0.03698051812486906	0.008049910684060118	32
15	0.03588396642615321	0.007469309854579879	32
16	0.03492305166029672	0.00696795392594881	32
17	0.034072952823008186	0.006526068508858475	32
18	0.03331482560675472	0.006130480410062859	32
19	0.03263403015894657	0.005772179586073145	32
20	0.032018966643489404	0.005444813817761293	32
